"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"CG16721";5,68955120964278;5,41047847204842;5,33612843868592;5,53543965878141;5,27125606129437;5,15118717255161;5,22675013500498;8,05296196146222;7,90377694533787;7,86112911422632;7,64662897991197;7,6479905488808;7,95687621544786;7,73651455274984;7,97878271495922;7,97046515972631;7,79039690365364
"CG4766";5,29386584028724;4,79804430674544;4,64337195076735;5,61537800956241;5,02883721260825;4,76310699421236;4,63267179113481;6,79298900065492;6,81797195804515;6,57391288904199;6,50071749735145;6,62636541315805;6,37848565448971;5,94114158602924;6,64843321432721;5,90510163591897;6,42667395009776
"Nep1";8,40855694125151;8,12356298193471;8,1275385288949;8,32793770371394;7,62150811952886;7,50429864543039;7,89115063254193;8,78297598427515;8,39052986821331;8,52586825888409;8,74785682911781;8,18135102733237;8,3886028578332;8,98500454507701;7,14845523730357;6,86937857490747;6,88598950376531
"CG3566";8,46499750287301;8,38972730486658;8,62119031023368;8,50417351695567;8,18802898883169;8,33876073243752;8,440026462749;7,00073385997561;7,04879082073913;7,55333154297598;6,81511546718581;6,99090856088451;7,44457207362582;7,6556274169914;8,08499348700533;7,79604897708129;7,85519820712645
"Rpt4";8,11380928514481;7,90339546698062;8,03796562895566;8,16107883372025;7,56916485837973;7,67948912861;7,90712643850951;8,97678478024035;8,77496508125176;9,00038257418279;9,1087898640671;8,5924195015739;8,95249260028154;9,14089903549874;8,68987129128462;8,38237769734748;8,44510989925261
"CG34417";4,45404454947425;3,74110162898044;3,61480006297201;4,01295939887066;4,5913680188966;4,91820048933154;3,62854751403963;3,34250840772266;3,00819730182648;3,53740834574569;3,30320935531445;3,26892794942074;3,24170401227136;3,01460319154795;3,5137147692792;3,60245825383682;5,92984091079873
"CG3168";7,07936004669775;7,09120752047186;7,46881098366301;7,00875504963576;7,07625690811017;7,12279903332277;7,55013300306982;8,57991149368967;8,4052123908604;8,65597465725132;8,85030720160989;8,30617385652452;8,64849643483192;8,99182852148573;7,74193893445392;7,80615996154412;8,00106381426151
"shf";4,60508431180865;5,05267618877282;5,15529645317746;5,02970655224264;5,55395611640514;5,50198787923802;5,57097075806082;5,83383436079667;6,06932275690329;5,58267274035802;6,03664051621444;6,02893035073145;5,98381670324029;5,94136854243668;6,75985126791706;6,3104996113262;6,4325232537421
"Cht11";3,91733971052338;4,19964642476883;4,41760711804702;4,24560813678553;4,13034702782328;4,19397887405639;4,05932969901331;5,47659245584154;5,63675547032828;5,58813614643602;5,20941620541065;5,51257809487154;5,28444559733199;5,44729388868648;5,55496412838789;5,42055698625744;5,51830284891041
"bou";6,33419847593516;6,22537594542606;5,90318335031643;6,44310375907912;6,26751997442229;6,14645483902962;5,98191689279691;5,98844061529771;6,14274386115607;6,57649173358592;6,09704077179083;5,96776716493967;6,45149014716157;6,22524284314946;7,31567534763147;7,30318674102304;7,07765788488624
"l(1)G0193";7,29083120792272;7,07639284216081;6,82444132630465;6,89269700348649;6,70612854870095;6,60653954818058;6,63559269050859;9,39745636039985;9,17683506328611;9,39209894901614;9,35286257016253;9,10518276856233;9,1859345460021;9,10301746645539;9,37217147307112;9,01990530153789;9,19608444645118
"sn";6,68125388976578;6,34925735885436;6,44616545413917;6,93548380298927;6,30976155297784;5,58491129013854;5,95011676442786;7,58799973061599;7,65891089701464;7,02911670640232;7,45699934572355;7,47370592283083;7,12731264824594;6,94331400620865;8,00430032645757;7,49656414061153;7,39011070681229
"CG2233";5,05865747354993;4,65447863126448;5,20502127030544;4,44041535324379;6,55825004648139;5,85667774611421;5,98396737540551;5,40530531421982;4,31908177162842;5,95845133117051;4,87452748968587;4,74458872046102;5,72979553995457;5,30173857197561;5,34742034196023;7,37427758332788;6,1727064980269
"CG31030";9,00766179525436;8,92493819298113;9,32162593020877;9,2810455254655;9,25949102079875;9,20395645062164;9,25011434763939;8,59455248922756;8,29355278666874;8,36440213843258;8,57945425552802;8,1262387828639;8,12996004267712;8,52013032710804;8,16089630016269;8,32607136584068;7,80408697238179
"CG32700";7,41094061602693;7,13681416387966;6,89586837444722;7,06508890742937;6,75939921946772;5,81407590750028;6,69074696033821;7,35895564765237;6,62376883972813;6,50834480333545;7,33069463622831;6,46251186425067;6,59162807559934;7,00981207774162;5,81856251235643;5,72948358302499;5,59987315741474
"CG9686";6,5760825153766;6,18203453018974;6,20806395914078;6,36523028090574;6,10162423584986;5,54406796055678;5,94291579698877;8,01054809323424;7,87028450197587;7,89051966230404;8,06690054948512;8,11186713388559;8,015624205902;7,92759295998869;8,22427083030619;7,99575974806815;7,94232462020538
"Idgf4";7,49148142051087;6,63089200663629;6,68238264071241;7,4089386188346;7,17933284736893;7,43408049974372;7,01671190412886;6,13526986615894;6,10525517796825;6,49217634237872;5,68967146847363;5,71753849430411;5,85842265233535;6,04265088690753;5,9381136957558;5,9632658901259;6,37501545252027
"Naxe";5,65675234544836;5,67838997614157;5,70513907646217;5,5031068872096;5,60492203904929;5,57015039872437;5,5312602626651;5,74095569546879;5,86522978249986;6,0330097425051;5,63318979401258;5,85248115644487;5,822955738363;6,15022657347285;7,20836140078927;6,71412891530776;6,72760302904752
"CG15309";7,79161801536526;8,20726537741165;7,79688719368271;8,4793647279294;8,13299552362694;7,84220232893117;7,78788064996093;10,7882478683612;10,6781978269187;10,4433925123814;10,663596828333;10,6373859299962;10,569508207427;10,3072527453341;10,3697075202097;10,3577823334735;10,3230470702363
