"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"142196_at";4,06252286887647;4,35716933721669;3,80925864738085;3,43871433488821;3,89247011490111;3,85073802614276;4,11364454953697;3,60545711238845;3,67406776687963;3,67065320370723;3,36842837473995;3,58131105094336;3,34432001336698;3,80878965398678;3,4408284131073;3,81700416922137;3,7958601687768
"152595_at";7,59145601075462;7,54138445240118;7,49669411331664;8,35760938756368;7,98876440665037;7,86564056302719;7,47724757162326;8,95325601906072;8,90844508157075;9,02268645928066;8,86172057849066;9,08075792276113;8,99363514330728;8,28120736856182;8,47138379707319;8,68082741168479;8,65751504430218
"154688_at";4,70351508743819;4,32868781702653;4,15571485015489;5,43689689078613;4,55807153048787;4,30851210600811;4,43272020591993;5,23842151372343;5,38584836763927;5,47634915608531;4,78829208052829;4,49940933740791;5,27010299291944;4,60530740728755;5,13891864225276;5,16306045566321;4,85147568756023
"149929_at";3,296491597439;3,35147602256266;3,98393894439474;3,97787712146054;3,93908219252628;3,68633700099148;3,83013140089244;3,44677621619438;3,9249298792544;3,49756590979811;3,75180514217182;3,7305640331967;4,00900592911268;3,52025807221611;3,71833744368503;3,74312358597772;3,55164787756284
"154692_at";3,69603591407531;3,9934667261811;3,64611051485004;3,38569056922806;4,65624296789789;3,8369444964383;3,86398112087898;3,51434770416045;3,23962194821258;3,98190689197328;3,50056837090221;3,06863714052759;4,08426940567134;3,11367453948615;3,32222722437312;3,00844542888179;3,29034249198048
"145215_at";6,55870174832781;6,05443801976388;6,5087242738798;6,36466926277689;6,04902949443307;6,13909349526232;6,43649021389727;7,40457986278868;7,19810297698836;7,11493950091755;7,20514403046907;6,76329034278077;7,07796098832575;7,39486320709471;7,42645219068268;7,49992691387745;7,16744179839837
"151362_r_at";8,38959748285848;8,63832387171932;8,68982707662468;8,21520502782304;8,44575908880867;8,67214893643138;8,81465914409369;8,2293497693514;8,45677631701111;8,18388078203012;8,26227988777981;8,42681881551349;8,22185509891793;8,68059836621669;8,05483732837603;8,33582502298022;8,22628693200814
"152934_at";6,35012071577419;6,00456251729687;6,19348752623811;6,29569826827866;6,22522668037719;6,01586210396315;6,47249804964837;6,59842945135599;6,58327609688957;7,02413490185192;6,54087246649122;6,47561048181994;6,78637043455744;6,79063501778728;7,16772017334094;7,28112132816584;7,06713356740406
"153232_at";4,86634007562445;4,72675334981237;4,92676238042905;5,6068453129632;5,30580408308036;5,25667116404212;5,01924845263749;6,31970051832952;6,16320407071133;5,99203046178235;5,53296954200247;5,47175459224395;5,83642466934694;5,23583262720857;5,56971420164149;5,69433448210576;5,89642290730438
"153125_at";3,46606807053796;4,03536487900097;4,0613786343276;4,29890610881678;4,52097051732423;4,40332328178938;4,32070289050958;4,68012486482435;4,78878866740052;4,89384028153474;4,68923769255546;5,02614028241811;5,26314610970178;5,14932905332643;4,9165331834777;4,88498054523505;5,07603916979369
