"";" Pre82";" Pre83";" Pre84";" Pre85";" Pre86";" Pre87";" Pre88";" P0_89";" P0_90";" P0_91";" P0_92";" P0_93";" P0_94";" P0_95";" P5_96";" P5_97";" P5_98"
"141221_at";3,20433290123215;3,48652014013662;3,85197419162658;3,69341201655237;3,62845901373627;3,77272184456539;3,68657290136923;3,49283912274917;3,4319600873248;3,45036525660401;3,84685235409282;3,34823120468354;3,27716224549001;3,70093400551958;3,67934886842309;3,72182491754091;3,54451967150521
"141222_at";8,90270922262561;8,54224579999377;8,59317989181132;8,87115436432312;8,57531456754224;8,42135469441292;8,46202597907492;8,83224445460783;8,72503694198162;8,83349388935761;8,43266374358474;8,54378880608134;8,56334060860329;8,54602637002938;8,60070205448669;8,5991876133838;8,60643380242387
"141223_at";5,33306840598095;5,13686722421765;5,28279522305811;5,67167650795576;5,14828037532244;5,08071896022175;5,24805350628758;6,18729867269433;6,12158932136321;6,4043593421544;5,89163319882789;5,67239039918275;5,86626477177229;6,12686491509231;6,53086502860307;6,33707019517428;6,13663004767351
"141224_at";6,02651707853701;5,51120982179762;5,43093057455642;5,91877423255191;5,45085538153858;5,86519849721749;5,07523608542317;5,62819913077042;5,74803301732879;6,18304976142622;5,19695720449384;5,06517143758213;5,73540422899287;5,56194551751071;5,8358788282919;5,35209444034552;5,33565329882221
"141225_at";6,13960957740853;6,41454402322994;6,41733186046688;6,45057469622941;6,78237198228997;6,83330718973881;6,62633723389193;6,11686984280616;6,24475319579881;6,50116846817666;6,14996833029017;6,09634875663532;6,30133481269972;6,21417432984599;6,15032914015805;6,448328660364;6,33753447137286
"141226_at";7,83978480509767;7,90623408948877;7,46658595145485;8,18561816230675;7,94998283146205;8,13556435090249;7,69350563333558;6,30316769655065;6,50404271323189;6,65873696193368;6,15548608422375;6,18263928453678;6,27969590236204;6,2451672342436;6,56557961155506;6,55748504026053;6,63893860720794
"141227_at";7,40212767770593;7,30312730012001;7,43778955824952;7,41913452995451;7,13903705001915;7,01639105631071;7,24475179441261;7,92776344569061;7,85154164199149;7,98950762673658;8,03491155441189;7,94514434564389;8,09608024907022;7,96160278480975;7,63636961715796;7,44924986953456;7,49682704251285
"141228_at";6,94382752548561;6,85459401780087;7,24744646002877;7,33867198731249;7,00587259328368;7,09952593375206;7,10946108953067;7,64463838808044;7,74093528948807;7,60755644139732;7,7921692006513;7,75031904970847;7,79695562111695;7,89347898682296;7,55314823103245;7,55917093690068;7,40002830625338
"141229_at";6,99907300240105;6,75183527410514;6,78143825952539;6,89388444473196;6,49289361146075;6,96691982223281;6,72336975661099;7,66644341265187;7,4272111105648;7,64524507383049;7,54329833066917;7,36143370091567;7,42547214910496;7,89030117236607;7,78448647089221;7,91216833394544;7,60105917467996
"141230_at";6,28328656397796;6,72074533970408;6,47868966943728;6,62115646655691;6,57607093114058;6,57539261439276;6,3332357922117;6,38305317403741;6,4898113742719;6,66205131784282;6,43392468544924;6,55587532676916;6,48955583906607;6,37761179824244;6,23316918158047;6,19385000815843;6,245802936636
"141231_at";8,72132623256386;8,6049718712188;8,73462620808502;8,59055558831749;8,40435716040062;8,60426810220822;8,65387191003674;9,23152693363179;9,32079210336033;9,40989349779992;9,23758492718863;9,3050463741732;9,21829464401731;9,68872694696094;8,64545966663198;8,66636305482747;8,70984742991104
"141232_at";4,96052198971925;4,93963783225009;5,10105452956016;5,21754626240525;5,2190095681826;5,14281372463886;4,8322554502719;5,1490347847615;5,17324499876565;5,22461128193978;4,98838740928221;4,98238006512307;4,9606591570531;5,3164301927888;5,50384277015829;5,33786115310753;5,16243966393389
"141233_at";2,92545227470544;2,79082340785453;2,76922004716311;2,56089071067595;2,60498395257511;2,41370388460846;2,72767751994703;2,68169019299952;2,54191208971303;2,59360729174572;2,53169089606901;2,70217235307112;2,59872623617232;2,86800526455322;2,44677415309489;2,59909233175249;2,4982889093069
